dhreinscription;Total;01 - Ambulance;02 - Ambulant;03 - Police;06 - Transport adapté;07 - Fourgon (prison);Total_Transfert;ALBERT-PREVOST;C H LAURENTIEN;C H REGIONAL LANAUDIERE;C. A REAL-MOREL;C.H  PIERRE BOUCHER;C.H DE VAL-D'OR;C.H HONORE-MERCIER;C.H. HOTEL-DIEU D'AMOS;C.H. LASALLE;C.H. REG. SUROIT;C.H. VERDUN;C.H.PIERRE LE GARDEUR;CA VAUDREUIL;CENTRE D'ACCUEIL DE LACHI;CENTRE D'ACCUEIL LASALLE;CENTRE D'ACCUEIL NAZAIRE ;CENTRE DE SANTE INUULITSI;CENTRE HOSPITALIER DE GRA;CENTRE HOSPITALIER FLEURY;CENTRE LOCAL DE SERVICES ;CH MONTREAL ENFANTS;CH REG GRAND-PORTAGE;CH RIMOUSKI;CH UNIV LAVAL;CHCD GERIATRIQUE MAIMONID;CHCD NEUROL DE MONTREAL;CHCD REGIONAL LA MAURICIE;CHCD STE-ANNE;CHLD GRACE DART MONTREAL;CHSLD  S. MENTALE LACHINE;CHSLD EMILIE-GAMELIN;CHUM;CHUM HOTEL-DIEU;CITE DE LA SANTE DE LAVAL;CLINIQUE  POINTE ST-CHARL;CLSC DE SAINT-HENRI;CLSC DU VIEUX LACHINE;CLSC FAUBOURGS VISITATION;CLSC LA SALLE;CLSC VERDUN / COTE ST-PAU;CONSEIL CRI DE LA SANTE E;CS INUULITSIVIK;CS TULATTAVIK DE L'UNGAVA;CTRE HOSP ANNA-LABERGE;CTRE PSY RIV DES PRAIRIES;DISPENSAIRE DE MISTASSINI;DISPENSAIRE DE WASKAGANIS;DISPENSAIRE DE WASWANIPI ;FOYER DORVAL;GENERAL JUIF;HOP PSY EST MONTREAL;HOP. BARRIE MEMORIAL;HOP. BROME-MISSISQUOI-PER;HOP. CHICOUTIMI;HOP. DE MANIWAKI;HOP. GENERAL DU LAKESHORE;HOP. GENERAL MTL;HOP. NOTRE-DAME CHUM;HOP. SAINTE-CROIX;HOP. SAINT-EUSTACHE;HOP. SAINT-LUC CHUM;HOP. SEPT-ILES;HOP. SHRINERS POUR ENFANT;HOPITAL  DE PAPINEAU;HOPITAL CHARLES LEMOYNE;HOPITAL DE CHISASIBI;HOPITAL DE LACHINE;HOPITAL DE L'ENFANT-JESUS;HOPITAL DU HAUT-RICHELIEU;HOPITAL GATINEAU;HOPITAL JEAN-TALON;HOPITAL LANAUDIERE ET CHS;Hôpital Notre-Dame;HOPITAL ROYAL VICTORIA;HOPITAL SAINTE-JUSTINE;HOPITAL SANTA CABRINI;HOTEL-DIEU D'ARTHABASKA;HOTEL-DIEU DE LEVIS / PAV;HOTEL-DIEU DE SAINT-JEROM;HOTEL-DIEU DE SHERBROOKE;HOTEL-DIEU DE SOREL;INST CARDIO;INST.UNIV. CARDIO QUEBEC;INSTITUT PHILIPPE PINEL M;LE CENTRE DOLLARD CORMIER;LOUIS-H LAFONTAINE;MAISONNEUVE-ROSEMONT;ONTARIO;PAV. CAM LEFEBVRE (CHSLD);PAV.MANOIR DE VERDUN;PAV.STE-MARIE (TROIS-RIV);PAVILLON CHAMPLAIN;PT DE SERVICE  CHIBOUGAMA;RESIDENCE LOUVAIN;RESIDENCE YVON-BRUNET;RIVIERE-DES-PRAIRIES;SACRE-COEUR;SANTA CABRINI;ST. MARY
2016-01-11;24;2;22;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-12;38;2;32;1;3;0;8;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-13;17;2;14;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-14;18;2;15;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-15;21;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-16;11;1;10;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-17;9;0;8;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-18;18;0;16;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-19;29;1;27;1;0;0;5;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016-01-20;13;1;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
